step,reward_score,response_length_tokens,clip_ratio
104,0.75,4388.5117,0.195312
105,0.671875,3785.6562,0.179688
106,0.816406,3666.7852,0.101562
107,0.769531,3755.1719,0.128906
108,0.769531,4114.9727,0.164062
109,0.78125,3398.2031,0.105469
110,0.722656,4780.1055,0.230469
111,0.679688,3943.2344,0.132812
112,0.851562,3435.168,0.136719
113,0.816406,3830.125,0.109375
114,0.683594,3915.1523,0.226562
115,0.820312,3708.457,0.125
116,0.730469,3669.8477,0.136719
117,0.828125,3506.4375,0.125
118,0.730469,4109.9883,0.203125
119,0.671875,4280.3047,0.230469
120,0.710938,4217.3086,0.1875
121,0.65625,4397.7148,0.265625
122,0.765625,3909.582,0.199219
123,0.800781,3831.4492,0.167969
124,0.847656,3340.0625,0.082031
125,0.65625,3899.9492,0.152344
126,0.730469,3939.7148,0.171875
127,0.792969,4121.3867,0.148438
128,0.757812,3737.457,0.210938
129,0.726562,4023.168,0.167969
130,0.753906,4233.5352,0.207031
131,0.742188,3856.9805,0.195312
132,0.734375,4256.3867,0.230469
133,0.835938,3996.3594,0.171875
134,0.777344,4304.8281,0.21875
135,0.769531,3410.4844,0.066406
136,0.601562,4129.5273,0.183594
137,0.800781,4114.1445,0.140625
138,0.855469,4137.2773,0.113281
139,0.746094,4038.5273,0.183594
140,0.671875,4603.7461,0.230469
141,0.792969,4017.3555,0.15625
142,0.796875,3765.832,0.171875
143,0.816406,3612.5078,0.136719
144,0.753906,4112.9531,0.175781
145,0.800781,4221.0039,0.152344
146,0.796875,3600.8281,0.125
147,0.816406,3781.3672,0.128906
148,0.800781,3556.9062,0.125
149,0.675781,4471.7148,0.269531
150,0.746094,4108.8477,0.191406
151,0.917969,3231.9531,0.042969
152,0.832031,3308.5039,0.082031
153,0.78125,3898.3789,0.191406
154,0.710938,4355.1172,0.175781
155,0.878906,3161.0469,0.089844
156,0.785156,3796.043,0.144531
157,0.765625,3886.4648,0.125
158,0.828125,3267.5039,0.097656
159,0.878906,2967.4805,0.078125
160,0.6875,4590.457,0.253906
161,0.746094,4084.7773,0.179688
162,0.765625,4134.918,0.148438
163,0.8125,3739.9609,0.109375
164,0.691406,4107.8516,0.214844
165,0.753906,3897.1523,0.171875
166,0.757812,3410.0859,0.144531
167,0.824219,4012.0898,0.121094
168,0.832031,3658.1055,0.125
169,0.664062,4524.2305,0.25
170,0.75,3889.0469,0.136719
171,0.792969,3895.7266,0.117188
172,0.679688,3925.2969,0.167969
173,0.804688,3455.1016,0.113281
174,0.863281,3552.5859,0.097656
175,0.863281,3001.4961,0.03125
176,0.859375,3484.6289,0.085938
177,0.792969,4310.4609,0.15625
178,0.769531,3755.0117,0.164062
179,0.882812,3364.0586,0.082031
180,0.804688,3292.9258,0.078125
181,0.730469,4360.4688,0.21875
182,0.710938,4315.8555,0.230469
183,0.757812,3860.1367,0.183594
184,0.738281,4143.2305,0.199219
185,0.664062,4391.457,0.203125
186,0.808594,3383.9492,0.15625
187,0.769531,4621.4219,0.210938
188,0.710938,3763.5078,0.113281
189,0.71875,4172.582,0.230469
190,0.5625,4971.5781,0.296875
191,0.71875,4390.9648,0.183594
192,0.769531,3851.6016,0.136719
193,0.816406,3551.3594,0.128906
194,0.820312,3460.3203,0.109375
195,0.710938,4108.0078,0.234375
196,0.730469,3491.9414,0.148438
197,0.777344,3704.0547,0.175781
198,0.863281,3340.6836,0.082031
199,0.6875,3794.0781,0.183594
200,0.878906,2668.1016,0.027344
201,0.625,3657.793,0.203125
202,0.785156,3683.2305,0.167969
203,0.84375,3023.6992,0.109375
204,0.78125,3782.0117,0.152344
205,0.75,3723.0703,0.167969
206,0.742188,4354.7344,0.1875
207,0.738281,4490.1758,0.214844
208,0.914062,2944.6953,0.070312
209,0.789062,3392.3398,0.109375
210,0.757812,4116.6289,0.175781
211,0.625,4092.8047,0.214844
212,0.699219,4277.668,0.191406
213,0.8125,3654.2578,0.148438
214,0.703125,3958.082,0.21875
215,0.527344,4576.2578,0.296875
216,0.769531,4125.8633,0.175781
217,0.835938,3234.2656,0.132812
218,0.773438,3785.9766,0.128906
219,0.722656,4180.6641,0.15625
220,0.824219,3443.6602,0.082031
221,0.679688,3811.918,0.167969
222,0.722656,4666.3008,0.246094
223,0.796875,3336.0234,0.101562
224,0.757812,3512.8164,0.160156
225,0.824219,3594.5312,0.140625
226,0.710938,4267.7695,0.15625
227,0.710938,3731.832,0.109375
228,0.730469,3636.3945,0.132812
229,0.84375,3298.9375,0.089844
230,0.722656,3677.3516,0.136719
231,0.769531,4040.1562,0.175781
232,0.902344,3226.5742,0.074219
233,0.769531,3765.168,0.167969
234,0.78125,3857.7227,0.191406
235,0.730469,4338.2031,0.132812
236,0.792969,3295.1836,0.074219
237,0.800781,3838.7109,0.070312
238,0.886719,3384.957,0.121094
239,0.785156,3243.875,0.097656
240,0.90625,3293.2461,0.078125
241,0.753906,3860.8086,0.132812
242,0.714844,3916.7969,0.195312
243,0.890625,3016.8398,0.082031
244,0.703125,3239.4805,0.136719
245,0.875,2962.9961,0.066406
246,0.785156,3654.4297,0.179688
247,0.761719,3896.75,0.179688
248,0.734375,4094.5,0.183594
249,0.777344,3444.582,0.136719
250,0.785156,4036.5977,0.179688
251,0.738281,3651.7305,0.132812
252,0.839844,2988.7695,0.066406
253,0.855469,3585.1562,0.082031
254,0.777344,4269.9023,0.191406
255,0.792969,3936.0,0.117188
256,0.78125,3984.9492,0.132812
257,0.898438,3139.1875,0.058594
258,0.886719,3072.5938,0.042969
259,0.800781,3540.6484,0.105469
260,0.777344,3342.4688,0.109375
261,0.859375,3552.1406,0.117188
262,0.800781,3745.3867,0.082031
263,0.707031,3532.4453,0.164062
264,0.882812,3098.1641,0.074219
265,0.761719,3718.2422,0.183594
266,0.652344,3709.6523,0.164062
267,0.820312,3586.4141,0.136719
268,0.714844,3880.5625,0.160156
269,0.804688,3185.6602,0.054688
270,0.867188,3582.9336,0.09375
271,0.839844,3036.7695,0.066406
272,0.757812,3004.8594,0.0625
273,0.84375,3504.5156,0.117188
274,0.789062,2963.5977,0.058594
275,0.878906,3341.375,0.078125
276,0.828125,3007.9219,0.082031
277,0.640625,4497.8203,0.277344
278,0.769531,3163.7656,0.085938
279,0.6875,3966.4531,0.179688
280,0.804688,3318.2773,0.144531
281,0.804688,3853.832,0.132812
282,0.847656,3361.918,0.136719
283,0.742188,3342.5156,0.136719
284,0.8125,3203.4062,0.074219
285,0.746094,3363.6094,0.117188
286,0.722656,3624.7305,0.152344
287,0.847656,3062.6641,0.0625
288,0.828125,3456.8242,0.089844
289,0.820312,2718.9492,0.070312
290,0.785156,3241.2617,0.078125
291,0.761719,3062.5,0.140625
292,0.816406,2774.7227,0.035156
293,0.808594,2967.0703,0.070312
294,0.828125,3059.8047,0.089844
295,0.785156,3269.5156,0.082031
296,0.828125,2752.2656,0.035156
297,0.832031,2942.5781,0.0625
298,0.792969,3935.2656,0.121094
299,0.714844,3414.7344,0.121094
300,0.824219,3614.4492,0.125
301,0.707031,3817.3984,0.144531
302,0.796875,2606.0,0.050781
303,0.671875,3586.1328,0.113281
304,0.832031,2438.6875,0.074219
305,0.878906,3029.8438,0.09375
306,0.84375,2804.0508,0.089844
307,0.742188,3713.043,0.164062
308,0.78125,3279.6094,0.09375
309,0.707031,3624.793,0.203125
310,0.8125,3055.6445,0.164062
311,0.824219,2869.9883,0.105469
312,0.722656,3719.5,0.15625
313,0.773438,3395.8906,0.152344
314,0.707031,3569.2422,0.144531
315,0.78125,3199.1289,0.097656
316,0.734375,3436.2852,0.097656
317,0.738281,3826.8828,0.191406
318,0.734375,3099.8945,0.09375
319,0.78125,3375.8008,0.113281
320,0.699219,3801.2422,0.179688
321,0.839844,3359.3477,0.140625
322,0.800781,3334.375,0.132812
323,0.785156,3790.3516,0.1875
324,0.835938,3613.9648,0.125
325,0.710938,3916.2969,0.152344
326,0.828125,3371.0586,0.097656
327,0.765625,3127.8672,0.105469
328,0.875,2614.5625,0.050781
329,0.78125,2998.8789,0.050781
330,0.820312,2887.1641,0.101562
331,0.796875,3356.7695,0.125
332,0.757812,2678.0898,0.066406
333,0.828125,3037.9961,0.082031
334,0.875,2701.3398,0.019531
335,0.777344,3729.5195,0.164062
336,0.699219,3378.2656,0.164062
337,0.691406,3863.7969,0.171875
338,0.804688,3465.2695,0.097656
339,0.804688,3834.1367,0.136719
340,0.703125,3449.2461,0.132812
341,0.914062,3175.5156,0.085938
342,0.863281,3015.1602,0.09375
343,0.851562,2956.4297,0.132812
344,0.722656,3739.1602,0.171875
345,0.894531,2786.8438,0.058594
346,0.726562,3611.1875,0.152344
347,0.824219,2766.4531,0.046875
348,0.835938,2680.3086,0.070312
349,0.839844,3375.8164,0.101562
350,0.804688,2951.6758,0.042969
351,0.832031,3218.8789,0.105469
352,0.808594,2822.457,0.105469
353,0.824219,3361.2656,0.132812
354,0.824219,2810.2422,0.058594
355,0.847656,3457.9414,0.066406
356,0.898438,2805.8359,0.019531
357,0.761719,3510.043,0.144531
358,0.808594,2918.9961,0.027344
359,0.742188,3786.7188,0.136719
360,0.800781,3330.0078,0.09375
361,0.859375,2980.3164,0.058594
362,0.878906,2736.1094,0.085938
363,0.800781,3846.9375,0.164062
364,0.804688,3154.6836,0.128906
365,0.746094,3332.5781,0.09375
366,0.726562,3369.5781,0.128906
367,0.78125,3348.5352,0.132812
368,0.769531,3741.0,0.167969
369,0.742188,2770.2617,0.09375
370,0.726562,3613.668,0.136719
371,0.777344,4230.2422,0.207031
372,0.804688,3317.9844,0.128906
373,0.707031,3722.4727,0.136719
374,0.800781,3209.4219,0.101562
375,0.671875,3777.543,0.175781
376,0.699219,3882.3047,0.195312
377,0.816406,3036.8477,0.125
378,0.757812,3728.6797,0.125
379,0.765625,3283.1602,0.109375
380,0.804688,3143.7266,0.113281
381,0.808594,3383.7031,0.09375
382,0.914062,2566.4414,0.039062
383,0.757812,3530.332,0.152344
384,0.765625,3357.9844,0.117188
385,0.832031,3243.9023,0.078125
386,0.789062,3465.1172,0.144531
387,0.882812,2922.9492,0.058594
388,0.71875,3687.9375,0.183594
389,0.660156,3651.4922,0.144531
390,0.773438,3512.2617,0.117188
391,0.796875,3552.9961,0.167969
392,0.90625,2861.0703,0.046875
393,0.828125,3222.8594,0.105469
394,0.742188,3243.2422,0.144531
395,0.773438,3392.3398,0.132812
396,0.722656,3331.875,0.105469
397,0.773438,3365.7812,0.105469
398,0.738281,3747.9062,0.175781
399,0.855469,3063.3281,0.078125
400,0.851562,3734.7617,0.121094
401,0.851562,3118.1445,0.089844
402,0.878906,2886.2344,0.035156
403,0.828125,2809.7188,0.066406
404,0.757812,3057.457,0.109375
405,0.753906,3160.5898,0.105469
406,0.773438,3424.0273,0.101562
407,0.753906,3874.5078,0.132812
408,0.710938,3700.0078,0.152344
409,0.851562,3414.9961,0.078125
410,0.804688,3601.4609,0.066406
411,0.660156,4063.2383,0.21875
412,0.824219,3100.6836,0.070312
413,0.769531,3897.4766,0.175781
414,0.742188,3739.418,0.164062
415,0.8125,3384.7578,0.085938
416,0.75,3631.1602,0.125
417,0.804688,3202.293,0.089844
418,0.734375,4121.8047,0.164062
419,0.640625,3528.0508,0.125
420,0.636719,3360.8281,0.140625
421,0.847656,3212.2461,0.109375
422,0.703125,3901.5352,0.160156
423,0.742188,3484.6484,0.15625
424,0.730469,3702.9844,0.1875
425,0.707031,3763.9453,0.1875
426,0.71875,3973.4297,0.160156
427,0.742188,3275.6172,0.074219
428,0.867188,3072.1055,0.046875
429,0.808594,3402.5781,0.113281
430,0.773438,3521.5859,0.117188
431,0.761719,3788.7305,0.207031
432,0.808594,3439.543,0.082031
433,0.828125,2885.0117,0.070312
434,0.84375,2752.0039,0.039062
435,0.675781,3762.7852,0.15625
436,0.71875,3414.7773,0.179688
437,0.8125,3653.9375,0.128906
438,0.808594,3193.1602,0.085938
439,0.882812,2707.2969,0.050781
440,0.699219,3650.6328,0.128906
441,0.761719,3923.0664,0.160156
442,0.671875,4039.9727,0.15625
443,0.851562,3149.7773,0.074219
444,0.742188,3493.707,0.164062
445,0.75,3741.3398,0.191406
446,0.808594,3325.0859,0.144531
447,0.816406,3083.6133,0.109375
448,0.925781,2628.3828,0.046875
449,0.796875,2992.5,0.078125
450,0.8125,2872.7969,0.074219
451,0.898438,3181.1172,0.070312
452,0.710938,3541.8086,0.117188
453,0.78125,3433.5938,0.117188
454,0.890625,2921.1094,0.058594
455,0.804688,3207.9609,0.085938
456,0.792969,3437.3633,0.15625
457,0.890625,2768.168,0.066406
458,0.804688,2982.8906,0.066406
459,0.714844,3009.2227,0.074219
460,0.808594,3120.6367,0.085938
461,0.707031,3730.6133,0.164062
462,0.78125,3372.3398,0.148438
463,0.722656,3886.7383,0.144531
464,0.78125,3328.4609,0.109375
465,0.839844,2928.2656,0.070312
466,0.785156,3200.4336,0.113281
467,0.703125,3491.9141,0.164062
468,0.832031,3740.0391,0.117188
469,0.703125,3621.6562,0.164062
470,0.902344,2817.4297,0.039062
471,0.851562,3084.8867,0.09375
472,0.757812,3397.6641,0.117188
473,0.667969,3947.0195,0.21875
474,0.675781,3876.0039,0.132812
475,0.757812,3241.9805,0.0625
476,0.933594,2845.8047,0.066406
477,0.621094,3443.1133,0.101562
478,0.765625,3430.1289,0.152344
479,0.695312,3463.6484,0.121094
480,0.785156,3379.168,0.078125
481,0.703125,3430.2656,0.121094
482,0.757812,3585.5,0.148438
483,0.800781,3379.457,0.113281
484,0.773438,3287.2383,0.101562
485,0.757812,3378.2773,0.089844
486,0.820312,3357.0195,0.132812
487,0.71875,2844.6016,0.066406
488,0.746094,3741.6523,0.140625
489,0.742188,3621.0117,0.109375
490,0.796875,3207.6016,0.089844
491,0.734375,3660.8906,0.164062
492,0.796875,3241.0625,0.070312
493,0.863281,2511.1758,0.054688
494,0.753906,3356.7578,0.152344
495,0.820312,3530.2148,0.136719
496,0.699219,3986.3203,0.191406
497,0.804688,3694.6133,0.097656
498,0.828125,3090.7773,0.097656
499,0.628906,4016.2461,0.226562
500,0.851562,2629.1328,0.039062
501,0.753906,3191.0312,0.085938
502,0.824219,3241.1641,0.082031
503,0.898438,2885.7227,0.046875
504,0.804688,3105.3047,0.101562
505,0.828125,3149.9727,0.132812
506,0.746094,3595.2383,0.15625
507,0.808594,3519.4844,0.15625
508,0.804688,3174.4453,0.085938
509,0.859375,2731.3906,0.082031
510,0.816406,3339.4258,0.109375
511,0.808594,3475.9375,0.148438
512,0.875,2536.0117,0.042969
513,0.855469,3455.3828,0.101562
514,0.785156,3256.7109,0.105469
515,0.753906,3690.0703,0.121094
516,0.714844,3553.9102,0.125
517,0.785156,3062.5781,0.113281
518,0.757812,3136.9922,0.097656
519,0.804688,2966.0664,0.105469
520,0.726562,3382.1719,0.078125
521,0.835938,3066.9531,0.089844
522,0.785156,3330.75,0.105469
523,0.789062,3036.5,0.089844
524,0.804688,3533.7656,0.054688
525,0.746094,3802.6797,0.171875
526,0.867188,2960.1094,0.109375
527,0.753906,3133.5469,0.121094
528,0.753906,3161.4297,0.085938
529,0.804688,3461.8398,0.113281
530,0.613281,4472.6406,0.285156
531,0.851562,2695.3555,0.0625
532,0.875,3207.8164,0.085938
533,0.894531,3098.9883,0.0625
534,0.804688,2762.168,0.078125
535,0.796875,3509.8828,0.125
536,0.757812,3636.1797,0.148438
537,0.78125,3174.1875,0.113281
538,0.785156,3151.2969,0.117188
539,0.839844,2974.1367,0.074219
540,0.835938,2614.4102,0.046875
541,0.738281,3058.7852,0.074219
542,0.722656,4203.2344,0.132812
543,0.871094,2839.0586,0.070312
544,0.828125,3519.457,0.136719
545,0.71875,3484.4531,0.136719
546,0.84375,3032.9727,0.09375
547,0.804688,3040.8945,0.101562
548,0.6875,3806.7227,0.128906
549,0.882812,3154.582,0.042969
550,0.757812,3420.9102,0.132812
551,0.78125,3234.4102,0.09375
552,0.703125,3850.1445,0.125
553,0.820312,2939.5586,0.070312
554,0.605469,3891.2617,0.199219
555,0.816406,3071.5859,0.070312
556,0.816406,3023.3633,0.089844
557,0.800781,3130.1094,0.132812
558,0.867188,2671.9414,0.074219
559,0.824219,2701.4805,0.058594
560,0.835938,3143.3164,0.105469
561,0.765625,3520.0,0.152344
562,0.820312,3390.707,0.082031
563,0.929688,2877.2109,0.039062
564,0.820312,3545.1445,0.140625
565,0.910156,3018.4297,0.054688
566,0.855469,2734.3711,0.070312
567,0.714844,3707.5703,0.136719
568,0.769531,3350.207,0.128906
569,0.878906,3134.1484,0.066406
570,0.824219,3004.1133,0.054688
571,0.835938,3306.3516,0.140625
572,0.800781,3377.6602,0.140625
573,0.722656,3965.8945,0.175781
574,0.851562,2907.3008,0.082031
575,0.796875,3075.5391,0.078125
576,0.675781,3251.582,0.136719
577,0.820312,3136.5391,0.066406
578,0.679688,3336.5078,0.152344
579,0.730469,3678.6289,0.171875
580,0.847656,2311.9375,0.039062
581,0.882812,3105.4375,0.085938
582,0.789062,3501.7617,0.140625
583,0.820312,3437.5117,0.140625
584,0.867188,2050.582,0.015625
585,0.703125,3487.2383,0.171875
586,0.816406,3094.4844,0.054688
587,0.808594,3043.3086,0.078125
588,0.707031,3236.125,0.136719
589,0.75,3479.6172,0.132812
590,0.8125,3488.0195,0.109375
591,0.773438,3753.2422,0.152344
592,0.792969,3467.7695,0.136719
593,0.746094,3437.9297,0.140625
594,0.742188,3380.1875,0.109375
595,0.871094,2776.3125,0.058594
596,0.71875,3618.4883,0.144531
597,0.753906,3624.4258,0.140625
598,0.699219,3890.4727,0.203125
599,0.789062,3020.0312,0.09375
600,0.578125,3748.7695,0.136719
601,0.761719,3641.3906,0.148438
602,0.679688,3958.0977,0.164062
603,0.710938,4006.9844,0.15625
604,0.753906,3162.375,0.109375
605,0.8125,2956.3359,0.097656
606,0.894531,2961.9648,0.058594
607,0.703125,3337.2773,0.183594
608,0.757812,3525.4102,0.109375
609,0.753906,3126.9766,0.117188
610,0.628906,4230.75,0.226562
611,0.789062,3092.1562,0.113281
612,0.742188,3480.4688,0.109375
613,0.726562,3589.9141,0.109375
614,0.867188,3136.6992,0.0625
615,0.859375,2715.1406,0.054688
616,0.695312,3519.0195,0.101562
617,0.886719,2491.0,0.023438
618,0.820312,3067.8125,0.070312
619,0.703125,3813.9883,0.179688
620,0.710938,3837.6641,0.195312
621,0.796875,3100.8125,0.105469
622,0.773438,3279.7031,0.085938
623,0.882812,3161.3633,0.078125
624,0.765625,3751.668,0.132812
625,0.730469,3245.918,0.070312
626,0.75,3335.7656,0.140625
627,0.765625,3127.2578,0.140625
628,0.875,2029.8438,0.027344
629,0.78125,3067.4219,0.066406
630,0.6875,3715.8594,0.167969
631,0.875,2769.1758,0.03125
632,0.828125,2915.875,0.066406
633,0.886719,2712.6328,0.058594
634,0.839844,2869.0742,0.128906
635,0.84375,2910.3516,0.09375
636,0.847656,2690.8789,0.070312
637,0.757812,3437.3242,0.136719
638,0.824219,3376.3086,0.113281
639,0.765625,2895.0,0.105469
640,0.789062,3300.3359,0.105469
641,0.859375,3146.6133,0.117188
642,0.847656,2919.3125,0.09375
643,0.761719,3853.3398,0.152344
644,0.738281,3390.043,0.121094
645,0.785156,3104.6758,0.09375
646,0.847656,2937.6914,0.058594
647,0.800781,3242.2109,0.105469
648,0.820312,3405.0352,0.109375
649,0.867188,2979.8477,0.089844
650,0.714844,3520.043,0.121094
651,0.816406,3441.2578,0.113281
652,0.820312,2711.6367,0.050781
653,0.875,2644.8242,0.0625
654,0.835938,3109.8828,0.082031
655,0.722656,3499.5391,0.160156
656,0.734375,3391.7422,0.097656
657,0.808594,3365.207,0.121094
658,0.742188,3249.8633,0.140625
659,0.824219,3218.2969,0.097656
660,0.777344,2447.8906,0.03125
661,0.789062,3055.457,0.058594
662,0.789062,2675.4102,0.101562
663,0.796875,3000.5234,0.101562
664,0.734375,3308.207,0.097656
665,0.789062,2983.9922,0.0625
666,0.902344,2865.25,0.054688
667,0.738281,3690.6797,0.082031
668,0.851562,3134.9609,0.058594
669,0.792969,2886.1641,0.058594
670,0.777344,3056.6289,0.09375
671,0.792969,3699.1953,0.207031
672,0.789062,2847.1875,0.09375
673,0.808594,3298.207,0.082031
674,0.726562,3331.918,0.117188
675,0.785156,3382.9453,0.117188
676,0.773438,3357.4453,0.097656
677,0.84375,2700.2852,0.074219
678,0.71875,3107.9492,0.109375
679,0.804688,2970.5859,0.078125
680,0.808594,2946.1953,0.09375
681,0.835938,2732.8477,0.078125
682,0.796875,3230.3242,0.046875
683,0.84375,2877.9219,0.058594
684,0.621094,3626.4375,0.140625
685,0.851562,2882.6211,0.035156
686,0.609375,3611.3984,0.160156
687,0.828125,3475.332,0.148438
688,0.757812,3598.4336,0.148438
689,0.84375,2963.6367,0.074219
690,0.878906,2661.2031,0.050781
691,0.753906,3480.5781,0.105469
692,0.71875,3810.1328,0.214844
693,0.761719,3264.5781,0.117188
694,0.921875,2218.0742,0.03125
695,0.75,3361.082,0.121094
696,0.78125,3178.9375,0.148438
697,0.71875,3223.7305,0.144531
698,0.867188,2640.4102,0.054688
699,0.703125,3595.5117,0.164062
700,0.808594,3027.418,0.074219
701,0.878906,3213.3359,0.058594
702,0.753906,3080.7852,0.074219
703,0.878906,2870.8398,0.113281
704,0.824219,3216.2266,0.117188
705,0.738281,3171.793,0.144531
706,0.871094,3275.9219,0.089844
707,0.804688,3229.6562,0.074219
708,0.828125,2971.8203,0.089844
709,0.648438,4238.0781,0.253906
710,0.695312,3338.4688,0.117188
711,0.800781,2960.8008,0.109375
712,0.71875,3457.7852,0.078125
713,0.8125,4286.9531,0.148438
714,0.828125,3134.4531,0.105469
715,0.835938,3178.0117,0.136719
716,0.847656,2706.2188,0.078125
717,0.820312,2925.4414,0.097656
718,0.863281,2925.5703,0.074219
719,0.777344,3112.5312,0.128906
720,0.851562,2837.9648,0.09375
721,0.738281,3173.375,0.132812
722,0.816406,3041.1602,0.101562
723,0.796875,3136.5742,0.078125
724,0.84375,3404.6484,0.078125
725,0.816406,2799.2695,0.039062
726,0.796875,3439.4883,0.101562
727,0.769531,3044.2695,0.085938
728,0.867188,2807.2695,0.066406
729,0.71875,3142.8125,0.105469
730,0.8125,3285.6758,0.109375
731,0.78125,3668.4883,0.191406
732,0.789062,3020.1367,0.101562
733,0.800781,3407.6133,0.09375
734,0.71875,2998.332,0.050781
735,0.769531,3448.8086,0.144531
736,0.832031,2409.4844,0.019531
737,0.722656,3680.2305,0.109375
738,0.832031,2678.7617,0.070312
739,0.71875,3393.7031,0.125
740,0.773438,3115.2422,0.078125
741,0.859375,2784.4258,0.046875
742,0.816406,3420.2227,0.113281
743,0.785156,3356.1016,0.128906
744,0.804688,3042.4805,0.082031
745,0.792969,3557.5781,0.113281
746,0.679688,3964.8555,0.152344
747,0.847656,2749.3828,0.070312
748,0.816406,2481.5391,0.039062
749,0.796875,3630.2539,0.097656
750,0.800781,3378.7891,0.144531
751,0.691406,3806.5859,0.222656
752,0.730469,3473.5352,0.140625
753,0.839844,3126.5156,0.085938
754,0.761719,3486.8477,0.132812
755,0.765625,3168.3906,0.0625
756,0.769531,3775.0273,0.160156
757,0.730469,3523.2031,0.125
758,0.824219,2933.0664,0.082031
759,0.773438,3290.4023,0.117188
760,0.640625,3995.2422,0.171875
761,0.820312,3041.9336,0.109375
762,0.722656,3473.0781,0.132812
763,0.746094,3481.6641,0.148438
764,0.816406,3394.3984,0.109375
765,0.683594,2968.0039,0.070312
766,0.78125,3147.3477,0.078125
767,0.878906,2889.1719,0.019531
768,0.683594,3760.1328,0.148438
769,0.703125,3078.1602,0.09375
770,0.820312,2642.1367,0.082031
771,0.757812,3681.7969,0.160156
772,0.664062,3893.1797,0.171875
773,0.851562,3007.0781,0.085938
774,0.855469,2827.1484,0.082031
775,0.851562,2939.5898,0.085938
776,0.742188,3931.6406,0.164062
777,0.765625,3486.1172,0.152344
778,0.636719,3828.918,0.207031
779,0.8125,2836.0625,0.089844
780,0.84375,3007.4336,0.09375
781,0.667969,3639.5469,0.09375
782,0.914062,2603.1953,0.03125
